hour,rentals
418749.0,226.0
418750.0,130.0
418751.0,65.0
418752.0,22.0
418753.0,30.0
418754.0,29.0
418755.0,45.0
418756.0,73.0
418757.0,164.0
418758.0,267.0
418759.0,275.0
418760.0,240.0
418761.0,233.0
418762.0,284.0
418763.0,277.0
418764.0,264.0
418765.0,279.0
418766.0,261.0
418767.0,306.0
418768.0,390.0
418769.0,451.0
418770.0,395.0
418771.0,315.0
418772.0,260.0
418773.0,224.0
418774.0,148.0
418775.0,83.0
418776.0,54.0
418777.0,22.0
418778.0,14.0
418779.0,31.0
418780.0,68.0
418781.0,177.0
418782.0,334.0
418783.0,334.0
418784.0,255.0
418785.0,254.0
418786.0,323.0
418787.0,284.0
418788.0,327.0
418789.0,307.0
418790.0,298.0
418791.0,333.0
418792.0,423.0
418793.0,448.0
418794.0,452.0
418795.0,342.0
418796.0,315.0
418797.0,328.0
418798.0,202.0
418799.0,99.0
418800.0,57.0
418801.0,26.0
418802.0,23.0
418803.0,27.0
418804.0,85.0
418805.0,173.0
418806.0,337.0
418807.0,307.0
418808.0,277.0
418809.0,242.0
418810.0,293.0
418811.0,299.0
418812.0,351.0
418813.0,290.0
418814.0,296.0
418815.0,379.0
418816.0,460.0
418817.0,468.0
418818.0,490.0
418819.0,428.0
418820.0,363.0
418821.0,320.0
418822.0,230.0
418823.0,112.0
418824.0,67.0
418825.0,39.0
418826.0,26.0
418827.0,39.0
418828.0,100.0
418829.0,176.0
418830.0,368.0
418831.0,352.0
418832.0,287.0
418833.0,275.0
418834.0,308.0
418835.0,328.0
418836.0,348.0
418837.0,317.0
418838.0,315.0
418839.0,380.0
418840.0,455.0
418841.0,511.0
418842.0,491.0
418843.0,437.0
418844.0,412.0
418845.0,377.0
418846.0,273.0
418847.0,139.0
418848.0,82.0
418849.0,36.0
418850.0,25.0
418851.0,48.0
418852.0,90.0
418853.0,198.0
418854.0,366.0
418855.0,347.0
418856.0,287.0
418857.0,268.0
418858.0,342.0
418859.0,342.0
418860.0,364.0
418861.0,322.0
418862.0,339.0
418863.0,397.0
418864.0,440.0
418865.0,482.0
418866.0,503.0
418867.0,456.0
418868.0,425.0
418869.0,483.0
418870.0,386.0
418871.0,274.0
418872.0,195.0
418873.0,146.0
418874.0,94.0
418875.0,80.0
418876.0,55.0
418877.0,102.0
418878.0,194.0
418879.0,243.0
418880.0,274.0
418881.0,311.0
418882.0,291.0
418883.0,328.0
418884.0,299.0
418885.0,314.0
418886.0,373.0
418887.0,356.0
418888.0,357.0
418889.0,447.0
418890.0,510.0
418891.0,379.0
418892.0,366.0
418893.0,441.0
418894.0,343.0
418895.0,245.0
418896.0,171.0
418897.0,137.0
418898.0,115.0
418899.0,66.0
418900.0,42.0
418901.0,45.0
418902.0,74.0
418903.0,108.0
418904.0,166.0
418905.0,229.0
418906.0,310.0
418907.0,282.0
418908.0,234.0
418909.0,280.0
418910.0,304.0
418911.0,331.0
418912.0,309.0
418913.0,339.0
418914.0,261.0
418915.0,196.0
418916.0,283.0
418917.0,282.0
418918.0,132.0
418919.0,66.0
418920.0,32.0
418921.0,19.0
418922.0,22.0
418923.0,59.0
418924.0,73.0
418925.0,150.0
418926.0,278.0
418927.0,296.0
418928.0,239.0
418929.0,240.0
418930.0,289.0
418931.0,305.0
418932.0,293.0
418933.0,267.0
418934.0,314.0
418935.0,308.0
418936.0,395.0
418937.0,417.0
418938.0,349.0
418939.0,306.0
418940.0,265.0
418941.0,229.0
418942.0,148.0
418943.0,78.0
418944.0,50.0
418945.0,20.0
418946.0,19.0
418947.0,43.0
418948.0,71.0
418949.0,190.0
418950.0,331.0
418951.0,313.0
418952.0,291.0
418953.0,251.0
418954.0,330.0
418955.0,331.0
418956.0,299.0
418957.0,275.0
418958.0,328.0
418959.0,367.0
418960.0,429.0
418961.0,449.0
418962.0,441.0
418963.0,363.0
418964.0,380.0
418965.0,302.0
418966.0,215.0
418967.0,91.0
418968.0,59.0
418969.0,33.0
418970.0,17.0
418971.0,30.0
418972.0,85.0
418973.0,172.0
418974.0,302.0
418975.0,283.0
418976.0,269.0
418977.0,226.0
418978.0,315.0
418979.0,316.0
418980.0,318.0
418981.0,338.0
418982.0,341.0
418983.0,333.0
418984.0,386.0
418985.0,512.0
418986.0,463.0
418987.0,357.0
418988.0,346.0
418989.0,312.0
418990.0,206.0
418991.0,89.0
418992.0,56.0
418993.0,22.0
418994.0,18.0
418995.0,31.0
418996.0,88.0
418997.0,191.0
418998.0,374.0
418999.0,337.0
419000.0,293.0
419001.0,273.0
419002.0,322.0
419003.0,340.0
419004.0,335.0
419005.0,317.0
419006.0,355.0
419007.0,374.0
419008.0,453.0
419009.0,480.0
419010.0,521.0
419011.0,400.0
419012.0,375.0
419013.0,352.0
419014.0,280.0
419015.0,132.0
419016.0,72.0
419017.0,41.0
419018.0,31.0
419019.0,47.0
419020.0,84.0
419021.0,205.0
419022.0,350.0
419023.0,338.0
419024.0,292.0
419025.0,269.0
419026.0,341.0
419027.0,329.0
419028.0,358.0
419029.0,353.0
419030.0,340.0
419031.0,376.0
419032.0,442.0
419033.0,507.0
419034.0,547.0
419035.0,511.0
419036.0,424.0
419037.0,476.0
419038.0,397.0
419039.0,271.0
419040.0,203.0
419041.0,119.0
419042.0,107.0
419043.0,74.0
419044.0,51.0
419045.0,92.0
419046.0,164.0
419047.0,233.0
419048.0,264.0
419049.0,296.0
419050.0,378.0
419051.0,331.0
419052.0,296.0
419053.0,320.0
419054.0,325.0
419055.0,333.0
419056.0,415.0
419057.0,498.0
419058.0,566.0
419059.0,391.0
419060.0,401.0
419061.0,442.0
419062.0,383.0
419063.0,276.0
419064.0,177.0
419065.0,133.0
419066.0,86.0
419067.0,59.0
419068.0,42.0
419069.0,45.0
419070.0,88.0
419071.0,140.0
419072.0,193.0
419073.0,232.0
419074.0,310.0
419075.0,307.0
419076.0,261.0
419077.0,297.0
419078.0,313.0
419079.0,370.0
419080.0,330.0
419081.0,404.0
419082.0,298.0
419083.0,226.0
419084.0,241.0
419085.0,229.0
419086.0,147.0
419087.0,75.0
419088.0,31.0
419089.0,16.0
419090.0,18.0
419091.0,50.0
419092.0,89.0
419093.0,137.0
419094.0,288.0
419095.0,330.0
419096.0,280.0
419097.0,242.0
419098.0,281.0
419099.0,279.0
419100.0,301.0
419101.0,266.0
419102.0,319.0
419103.0,345.0
419104.0,438.0
419105.0,412.0
419106.0,394.0
419107.0,312.0
419108.0,268.0
419109.0,251.0
419110.0,149.0
419111.0,90.0
419112.0,55.0
419113.0,21.0
419114.0,27.0
419115.0,32.0
419116.0,75.0
419117.0,178.0
419118.0,307.0
419119.0,337.0
419120.0,256.0
419121.0,248.0
419122.0,310.0
419123.0,313.0
419124.0,302.0
419125.0,301.0
419126.0,290.0
419127.0,336.0
419128.0,457.0
419129.0,464.0
419130.0,406.0
419131.0,347.0
419132.0,342.0
419133.0,339.0
419134.0,218.0
419135.0,94.0
419136.0,61.0
419137.0,32.0
419138.0,39.0
419139.0,35.0
419140.0,70.0
419141.0,179.0
419142.0,340.0
419143.0,339.0
419144.0,257.0
419145.0,240.0
419146.0,311.0
419147.0,318.0
419148.0,350.0
419149.0,323.0
419150.0,328.0
419151.0,392.0
419152.0,410.0
419153.0,504.0
419154.0,450.0
419155.0,340.0
419156.0,357.0
419157.0,349.0
419158.0,186.0
419159.0,120.0
419160.0,58.0
419161.0,24.0
419162.0,25.0
419163.0,39.0
419164.0,79.0
419165.0,163.0
419166.0,356.0
419167.0,334.0
419168.0,288.0
419169.0,284.0
419170.0,319.0
419171.0,311.0
419172.0,322.0
419173.0,338.0
419174.0,343.0
419175.0,401.0
419176.0,454.0
419177.0,495.0
419178.0,470.0
419179.0,376.0
419180.0,354.0
