hour,rentals
418911.0,74.0
418912.0,62.0
418913.0,65.0
418914.0,58.0
418915.0,38.0
418916.0,31.0
418917.0,22.0
418918.0,14.0
418919.0,6.0
418920.0,6.0
418921.0,2.0
418922.0,3.0
418923.0,22.0
418924.0,31.0
418925.0,52.0
418926.0,73.0
418927.0,50.0
418928.0,45.0
418929.0,40.0
418930.0,47.0
418931.0,56.0
418932.0,63.0
418933.0,68.0
418934.0,68.0
418935.0,75.0
418936.0,77.0
418937.0,65.0
418938.0,55.0
418939.0,43.0
418940.0,35.0
418941.0,22.0
418942.0,17.0
418943.0,4.0
418944.0,8.0
418945.0,2.0
418946.0,6.0
418947.0,13.0
418948.0,28.0
418949.0,46.0
418950.0,82.0
418951.0,58.0
418952.0,35.0
418953.0,55.0
418954.0,37.0
418955.0,53.0
418956.0,53.0
418957.0,53.0
418958.0,64.0
418959.0,67.0
418960.0,85.0
418961.0,78.0
418962.0,64.0
418963.0,35.0
418964.0,44.0
418965.0,22.0
418966.0,23.0
418967.0,11.0
418968.0,6.0
418969.0,6.0
418970.0,2.0
418971.0,14.0
418972.0,37.0
418973.0,64.0
418974.0,76.0
418975.0,75.0
418976.0,50.0
418977.0,58.0
418978.0,46.0
418979.0,53.0
418980.0,50.0
418981.0,64.0
418982.0,66.0
418983.0,93.0
418984.0,94.0
418985.0,78.0
418986.0,70.0
418987.0,53.0
418988.0,45.0
418989.0,31.0
418990.0,21.0
418991.0,12.0
418992.0,4.0
418993.0,7.0
418994.0,6.0
418995.0,14.0
418996.0,30.0
418997.0,59.0
418998.0,79.0
418999.0,68.0
419000.0,42.0
419001.0,52.0
419002.0,59.0
419003.0,75.0
419004.0,68.0
419005.0,63.0
419006.0,57.0
419007.0,89.0
419008.0,85.0
419009.0,85.0
419010.0,65.0
419011.0,40.0
419012.0,45.0
419013.0,26.0
419014.0,18.0
419015.0,13.0
419016.0,9.0
419017.0,6.0
419018.0,5.0
419019.0,15.0
419020.0,35.0
419021.0,58.0
419022.0,64.0
419023.0,81.0
419024.0,58.0
419025.0,61.0
419026.0,61.0
419027.0,57.0
419028.0,71.0
419029.0,82.0
419030.0,61.0
419031.0,75.0
419032.0,90.0
419033.0,76.0
419034.0,98.0
419035.0,58.0
419036.0,57.0
419037.0,39.0
419038.0,24.0
419039.0,26.0
419040.0,16.0
419041.0,17.0
419042.0,13.0
419043.0,17.0
419044.0,23.0
419045.0,32.0
419046.0,45.0
419047.0,37.0
419048.0,58.0
419049.0,70.0
419050.0,83.0
419051.0,65.0
419052.0,69.0
419053.0,92.0
419054.0,71.0
419055.0,77.0
419056.0,109.0
419057.0,112.0
419058.0,96.0
419059.0,60.0
419060.0,59.0
419061.0,65.0
419062.0,53.0
419063.0,26.0
419064.0,24.0
419065.0,9.0
419066.0,9.0
419067.0,13.0
419068.0,15.0
419069.0,13.0
419070.0,22.0
419071.0,34.0
419072.0,37.0
419073.0,47.0
419074.0,53.0
419075.0,59.0
419076.0,66.0
419077.0,70.0
419078.0,79.0
419079.0,72.0
419080.0,81.0
419081.0,67.0
419082.0,63.0
419083.0,48.0
419084.0,36.0
419085.0,12.0
419086.0,12.0
419087.0,5.0
419088.0,2.0
419089.0,1.0
419090.0,4.0
419091.0,36.0
419092.0,31.0
419093.0,60.0
419094.0,63.0
419095.0,66.0
419096.0,53.0
419097.0,53.0
419098.0,58.0
419099.0,50.0
419100.0,58.0
419101.0,60.0
419102.0,71.0
419103.0,70.0
419104.0,81.0
419105.0,72.0
419106.0,61.0
419107.0,42.0
419108.0,36.0
419109.0,16.0
419110.0,9.0
419111.0,8.0
419112.0,3.0
419113.0,4.0
419114.0,2.0
419115.0,14.0
419116.0,37.0
419117.0,75.0
419118.0,70.0
419119.0,58.0
419120.0,53.0
419121.0,54.0
419122.0,45.0
419123.0,52.0
419124.0,48.0
419125.0,76.0
419126.0,65.0
419127.0,84.0
419128.0,100.0
419129.0,75.0
419130.0,66.0
419131.0,50.0
419132.0,39.0
419133.0,23.0
419134.0,18.0
419135.0,9.0
